TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1611661320,Los Angeles Sparks,32,25,7,0.781,1295.0,891,2002,0.445,194,515,0.377,474,643,0.737,329,814,1143,583,517.0,257,161,111,664,5,2450,217.0,1,1,1,1,4,1,1,1,2,3,2,5,6,11,4,1,1,1,13,8,2,8,13,1,1,1,2002
1611661326,Miami Sol,32,15,17,0.469,1294.978333,774,1856,0.417,129,389,0.332,369,529,0.698,296,573,869,476,435.0,274,96,104,643,3,2046,-42.0,1,11,11,11,7,9,10,11,9,11,9,15,15,15,13,16,15,11,2,3,13,5,11,5,15,11,2002
1611661324,Minnesota Lynx,32,10,22,0.313,1295.0,727,1775,0.41,166,500,0.332,383,578,0.663,309,650,959,466,529.0,226,102,117,617,0,2003,-101.0,1,14,14,14,4,16,15,12,5,5,8,14,9,16,8,8,8,12,15,13,10,9,6,14,16,13,2002
1611661313,New York Liberty,32,18,14,0.563,1289.983333,772,1740,0.444,145,400,0.363,399,566,0.705,260,609,869,496,458.0,261,100,88,638,4,2088,74.0,1,4,4,4,12,10,16,2,7,8,4,13,10,14,16,14,15,5,9,6,11,2,10,2,12,5,2002
1611661323,Orlando Miracle,32,16,16,0.5,1305.0,808,1914,0.422,145,461,0.315,493,646,0.763,320,595,915,446,456.0,295,113,108,669,4,2254,-1.0,1,8,8,8,2,4,6,7,7,6,13,3,5,5,6,15,14,15,7,1,7,6,15,2,3,8,2002
1611661317,Phoenix Mercury,32,11,21,0.344,1280.0,793,1889,0.42,100,328,0.305,405,538,0.753,292,626,918,427,501.0,267,94,127,623,2,2091,-200.0,1,13,13,13,16,7,9,9,15,15,14,12,14,8,15,13,13,16,12,5,14,11,7,8,11,16,2002
1611661327,Portland Fire,32,16,16,0.5,1295.0,829,1950,0.425,127,391,0.325,410,562,0.73,307,641,948,492,493.0,239,120,139,623,0,2195,-32.0,1,8,8,8,4,3,2,5,10,10,11,11,11,12,9,10,11,7,11,11,6,13,7,14,5,9,2002
1611661318,Sacramento Monarchs,32,14,18,0.438,1315.0,780,1945,0.401,112,395,0.284,494,653,0.757,301,648,949,500,456.0,247,109,128,675,3,2166,-128.0,1,12,12,12,1,8,4,14,12,9,16,2,3,7,11,9,10,4,7,9,8,12,16,5,7,14,2002
1611661328,Seattle Storm,32,17,15,0.531,1290.0,794,1948,0.408,182,506,0.36,418,543,0.77,362,633,995,514,477.0,282,151,125,623,1,2188,85.0,1,6,6,6,8,6,3,13,3,4,6,10,13,4,1,11,6,2,10,2,3,10,7,9,6,4,2002
1611661319,Utah Starzz,32,20,12,0.625,1290.0,843,1911,0.441,89,247,0.36,643,844,0.762,347,721,1068,478,522.0,228,178,149,665,1,2418,74.0,1,3,3,3,8,2,7,3,16,16,5,1,1,6,3,2,3,8,14,12,1,16,14,9,2,5,2002
1611661322,Washington Mystics,32,17,15,0.531,1282.666667,801,1899,0.422,163,440,0.37,356,475,0.749,329,703,1032,513,453.0,220,94,101,581,1,2121,18.0,1,6,6,6,15,5,8,8,6,7,3,16,16,9,4,4,4,3,5,14,14,3,4,9,8,7,2002
